PIXEL,LATITUDE,LONGITUDE
377,41.32992898,-74.37261731
378,41.32707417,-74.36068342
379,41.32421807,-74.34875061
380,41.32136069,-74.33681889
381,41.31850203,-74.32488825
382,41.31564208,-74.3129587
383,41.31278085,-74.30103023
384,41.30991834,-74.28910285
385,41.30705455,-74.27717655
386,41.30418947,-74.26525134
387,41.30132312,-74.25332721
388,41.29845548,-74.24140417
389,41.29558656,-74.22948222
390,41.29271636,-74.21756136
391,41.28984487,-74.20564159
392,41.28697211,-74.1937229
393,41.28409807,-74.1818053
394,41.28122274,-74.16988879
395,41.27834614,-74.15797337
396,41.27546825,-74.14605904
397,41.27258909,-74.1341458
398,41.26970864,-74.12223365
399,41.26682692,-74.11032259
400,41.26394392,-74.09841262
401,41.26105963,-74.08650375
402,41.25817407,-74.07459596
403,41.25528723,-74.06268927
404,41.25239911,-74.05078367
405,41.24950971,-74.03887916
406,41.24661904,-74.02697574
407,41.24372709,-74.01507342
408,41.24083385,-74.00317219
409,41.23793934,-73.99127205
410,41.23504356,-73.97937301
411,41.23214649,-73.96747507
412,41.22924815,-73.95557822
413,41.22634853,-73.94368246
414,41.22344764,-73.9317878
415,41.22054547,-73.91989424
416,41.21764202,-73.90800177
417,41.2147373,-73.8961104
418,41.2118313,-73.88422012
419,41.20892402,-73.87233095
420,41.20601547,-73.86044287
421,41.20310564,-73.84855589
422,41.20019454,-73.83667
423,41.19728216,-73.82478522
424,41.33803249,-74.44802016
425,41.3351858,-74.43608131
426,41.33233783,-74.42414354
427,41.32948857,-74.41220685
428,41.32663802,-74.40027125
429,41.32378619,-74.38833673
430,41.32093308,-74.37640329
431,41.31807869,-74.36447093
432,41.31522301,-74.35253966
433,41.31236605,-74.34060947
434,41.30950781,-74.32868036
435,41.30664828,-74.31675234
436,41.30378747,-74.30482541
437,41.30092538,-74.29289956
438,41.29806201,-74.28097479
439,41.29519736,-74.26905111
440,41.29233142,-74.25712852
441,41.2894642,-74.24520701
442,41.28659571,-74.23328659
443,41.28372593,-74.22136726
444,41.28085487,-74.20944901
445,41.27798252,-74.19753185
446,41.2751089,-74.18561578
447,41.272234,-74.1737008
448,41.26935782,-74.16178691
449,41.26648036,-74.14987411
450,41.26360162,-74.13796239
451,41.26072159,-74.12605177
452,41.25784029,-74.11414224
453,41.25495771,-74.10223379
454,41.25207385,-74.09032644
455,41.24918872,-74.07842018
456,41.2463023,-74.06651501
457,41.2434146,-74.05461093
458,41.24052563,-74.04270795
459,41.23763538,-74.03080605
460,41.23474385,-74.01890525
461,41.23185104,-74.00700555
462,41.22895696,-73.99510693
